phenotype,code,term,name,comment
GNH0001_AtrialFibrillationFlutter,I480,ICD10,Paroxysmal atrial fibrillation,
GNH0001_AtrialFibrillationFlutter,I481,ICD10,Persistent atrial fibrillation,
GNH0001_AtrialFibrillationFlutter,I482,ICD10,Chronic atrial fibrillation,
GNH0001_AtrialFibrillationFlutter,I489,ICD10,"Atrial fibrillation and atrial flutter, unspecified",
GNH0001_AtrialFibrillationFlutter,I48X,ICD10,Atrial fibrillation and flutter,
GNH0001_AtrialFibrillationFlutter,I48,ICD10,Atrial fibrillation and flutter,"code added to v008, had been missed before"
GNH0001_AtrialFibrillationFlutter,5370000,SNOMED,Atrial flutter,
GNH0001_AtrialFibrillationFlutter,49436004,SNOMED,Atrial fibrillation,
GNH0001_AtrialFibrillationFlutter,195080001,SNOMED,Atrial fibrillation and flutter,
GNH0001_AtrialFibrillationFlutter,282825002,SNOMED,Paroxysmal atrial fibrillation,
GNH0001_AtrialFibrillationFlutter,427665004,SNOMED,Paroxysmal atrial flutter,
GNH0001_AtrialFibrillationFlutter,440059007,SNOMED,Persistent atrial fibrillation,
GNH0002_CoronaryArteryDisease_narrow,I200,ICD10,Unstable angina,
GNH0002_CoronaryArteryDisease_narrow,I201,ICD10,Angina pectoris with documented spasm,
GNH0002_CoronaryArteryDisease_narrow,I208,ICD10,Other forms of angina pectoris,
GNH0002_CoronaryArteryDisease_narrow,I209,ICD10,"Angina pectoris, unspecified",
GNH0002_CoronaryArteryDisease_narrow,I210,ICD10,Acute transmural myocardial infarction of anterior wall,
GNH0002_CoronaryArteryDisease_narrow,I211,ICD10,Acute transmural myocardial infarction of inferior wall,
GNH0002_CoronaryArteryDisease_narrow,I212,ICD10,Acute transmural myocardial infarction of other sites,
GNH0002_CoronaryArteryDisease_narrow,I213,ICD10,Acute transmural myocardial infarction of unspecified site,
GNH0002_CoronaryArteryDisease_narrow,I214,ICD10,Acute subendocardial myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,I219,ICD10,"Acute myocardial infarction, unspecified",
GNH0002_CoronaryArteryDisease_narrow,I220,ICD10,Subsequent myocardial infarction of anterior wall,
GNH0002_CoronaryArteryDisease_narrow,I228,ICD10,Subsequent myocardial infarction of other sites,
