code,term
I480,GNH0001_AtrialFibrillationFlutter
I481,GNH0001_AtrialFibrillationFlutter
I482,GNH0001_AtrialFibrillationFlutter
I489,GNH0001_AtrialFibrillationFlutter
I48X,GNH0001_AtrialFibrillationFlutter
I48,GNH0001_AtrialFibrillationFlutter
I200,GNH0002_CoronaryArteryDisease_narrow
I201,GNH0002_CoronaryArteryDisease_narrow
I208,GNH0002_CoronaryArteryDisease_narrow
I209,GNH0002_CoronaryArteryDisease_narrow
I210,GNH0002_CoronaryArteryDisease_narrow
I211,GNH0002_CoronaryArteryDisease_narrow
I212,GNH0002_CoronaryArteryDisease_narrow
I213,GNH0002_CoronaryArteryDisease_narrow
I214,GNH0002_CoronaryArteryDisease_narrow
I219,GNH0002_CoronaryArteryDisease_narrow
I220,GNH0002_CoronaryArteryDisease_narrow
I228,GNH0002_CoronaryArteryDisease_narrow
I229,GNH0002_CoronaryArteryDisease_narrow
I235,GNH0002_CoronaryArteryDisease_narrow
I252,GNH0002_CoronaryArteryDisease_narrow
I200,GNH0003_CoronaryArteryDisease_broad
I201,GNH0003_CoronaryArteryDisease_broad
I208,GNH0003_CoronaryArteryDisease_broad
I209,GNH0003_CoronaryArteryDisease_broad
I210,GNH0003_CoronaryArteryDisease_broad
I211,GNH0003_CoronaryArteryDisease_broad
I212,GNH0003_CoronaryArteryDisease_broad
I213,GNH0003_CoronaryArteryDisease_broad
I214,GNH0003_CoronaryArteryDisease_broad
I219,GNH0003_CoronaryArteryDisease_broad
I220,GNH0003_CoronaryArteryDisease_broad
I228,GNH0003_CoronaryArteryDisease_broad
I229,GNH0003_CoronaryArteryDisease_broad
I235,GNH0003_CoronaryArteryDisease_broad
I240,GNH0003_CoronaryArteryDisease_broad
I241,GNH0003_CoronaryArteryDisease_broad
I248,GNH0003_CoronaryArteryDisease_broad
I249,GNH0003_CoronaryArteryDisease_broad
I250,GNH0003_CoronaryArteryDisease_broad
I251,GNH0003_CoronaryArteryDisease_broad
I252,GNH0003_CoronaryArteryDisease_broad
I253,GNH0003_CoronaryArteryDisease_broad
I254,GNH0003_CoronaryArteryDisease_broad
I255,GNH0003_CoronaryArteryDisease_broad
I258,GNH0003_CoronaryArteryDisease_broad
I259,GNH0003_CoronaryArteryDisease_broad
I210,GNH0004_MyocardialInfarction_narrow
I211,GNH0004_MyocardialInfarction_narrow
I212,GNH0004_MyocardialInfarction_narrow
I213,GNH0004_MyocardialInfarction_narrow
I214,GNH0004_MyocardialInfarction_narrow
I219,GNH0004_MyocardialInfarction_narrow
I220,GNH0004_MyocardialInfarction_narrow
I228,GNH0004_MyocardialInfarction_narrow
I229,GNH0004_MyocardialInfarction_narrow
I235,GNH0004_MyocardialInfarction_narrow
I252,GNH0004_MyocardialInfarction_narrow
I210,GNH0005_MyocardialInfarction_extended
I211,GNH0005_MyocardialInfarction_extended
I212,GNH0005_MyocardialInfarction_extended
I213,GNH0005_MyocardialInfarction_extended
I214,GNH0005_MyocardialInfarction_extended
I219,GNH0005_MyocardialInfarction_extended
I220,GNH0005_MyocardialInfarction_extended
I228,GNH0005_MyocardialInfarction_extended
I229,GNH0005_MyocardialInfarction_extended
I235,GNH0005_MyocardialInfarction_extended
I252,GNH0005_MyocardialInfarction_extended
I631,GNH0006_IschaemicStroke
I631,GNH0006_IschaemicStroke
I632,GNH0006_IschaemicStroke
I633,GNH0006_IschaemicStroke
I634,GNH0006_IschaemicStroke
I635,GNH0006_IschaemicStroke
I636,GNH0006_IschaemicStroke
I638,GNH0006_IschaemicStroke
I639,GNH0006_IschaemicStroke
I64X,GNH0006_IschaemicStroke
I64,GNH0006_IschaemicStroke
E110,GNH0007_Type2Diabetes
E111,GNH0007_Type2Diabetes
E112,GNH0007_Type2Diabetes
E113,GNH0007_Type2Diabetes
E114,GNH0007_Type2Diabetes
E115,GNH0007_Type2Diabetes
E116,GNH0007_Type2Diabetes
E117,GNH0007_Type2Diabetes
E118,GNH0007_Type2Diabetes
E119,GNH0007_Type2Diabetes
H401,GNH0008_PrimaryOpenAngleGlaucoma
J450,GNH0009_Asthma
J458,GNH0009_Asthma
J459,GNH0009_Asthma
J46X,GNH0009_Asthma
J46,GNH0009_Asthma
M100,GNH0010_Gout
M1000,GNH0010_Gout
M1006,GNH0010_Gout
M109,GNH0010_Gout
M1090,GNH0010_Gout
M1096,GNH0010_Gout
M1097,GNH0010_Gout
M1099,GNH0010_Gout
J410,GNH0011_COPD
J411,GNH0011_COPD
J42X,GNH0011_COPD
J432,GNH0011_COPD
J439,GNH0011_COPD
J440,GNH0011_COPD
J441,GNH0011_COPD
J448,GNH0011_COPD
J449,GNH0011_COPD
J47X,GNH0011_COPD
J47,GNH0011_COPD
I633,GNH0012_Stroke
I634,GNH0012_Stroke
I635,GNH0012_Stroke
I636,GNH0012_Stroke
I638,GNH0012_Stroke
I639,GNH0012_Stroke
I64X,GNH0012_Stroke
I64,GNH0012_Stroke
I500,GNH0013_HeartFailure
I501,GNH0013_HeartFailure
I509,GNH0013_HeartFailure
J841,GNH0014_IdiopathicPulmonaryFibrosis
J849,GNH0014_IdiopathicPulmonaryFibrosis
K350,GNH0015_AcuteAppendicitis
K351,GNH0015_AcuteAppendicitis
K352,GNH0015_AcuteAppendicitis
K353,GNH0015_AcuteAppendicitis
K358,GNH0015_AcuteAppendicitis
K359,GNH0015_AcuteAppendicitis
I260,GNH0016_HospitalisedVenousThromboEmbolism
I269,GNH0016_HospitalisedVenousThromboEmbolism
I801,GNH0016_HospitalisedVenousThromboEmbolism
I802,GNH0016_HospitalisedVenousThromboEmbolism
I822,GNH0016_HospitalisedVenousThromboEmbolism
J43,GNH0017_COPD
J43X,GNH0017_COPD
J44,GNH0017_COPD
J44X,GNH0017_COPD
I10,GNH0018_EssentialHypertension
I10X,GNH0018_EssentialHypertension
I11,GNH0018_EssentialHypertension
I11X,GNH0018_EssentialHypertension
I12,GNH0018_EssentialHypertension
I12X,GNH0018_EssentialHypertension
I13,GNH0018_EssentialHypertension
I13X,GNH0018_EssentialHypertension
C61,GNH0032_ProstateCancer
C61X,GNH0032_ProstateCancer
D075,GNH0032_ProstateCancer
C33,GNH0033_LungCancer_OpenSafelyCodelist
C33X,GNH0033_LungCancer_OpenSafelyCodelist
C34,GNH0033_LungCancer_OpenSafelyCodelist
C340,GNH0033_LungCancer_OpenSafelyCodelist
C341,GNH0033_LungCancer_OpenSafelyCodelist
C342,GNH0033_LungCancer_OpenSafelyCodelist
C343,GNH0033_LungCancer_OpenSafelyCodelist
C349,GNH0033_LungCancer_OpenSafelyCodelist
C34X,GNH0033_LungCancer_OpenSafelyCodelist
D381,GNH0033_LungCancer_OpenSafelyCodelist
Z851,GNH0033_LungCancer_OpenSafelyCodelist
C33,GNH0034_LungCancer_CRPDAurumCodelist
C33X,GNH0034_LungCancer_CRPDAurumCodelist
C34,GNH0034_LungCancer_CRPDAurumCodelist
C340,GNH0034_LungCancer_CRPDAurumCodelist
C341,GNH0034_LungCancer_CRPDAurumCodelist
C342,GNH0034_LungCancer_CRPDAurumCodelist
C343,GNH0034_LungCancer_CRPDAurumCodelist
C349,GNH0034_LungCancer_CRPDAurumCodelist
C34X,GNH0034_LungCancer_CRPDAurumCodelist
D381,GNH0034_LungCancer_CRPDAurumCodelist
Z851,GNH0034_LungCancer_CRPDAurumCodelist
