code,term
5370000,GNH0001_AtrialFibrillationFlutter
49436004,GNH0001_AtrialFibrillationFlutter
195080001,GNH0001_AtrialFibrillationFlutter
282825002,GNH0001_AtrialFibrillationFlutter
427665004,GNH0001_AtrialFibrillationFlutter
440059007,GNH0001_AtrialFibrillationFlutter
1755008,GNH0002_CoronaryArteryDisease_narrow
22298006,GNH0002_CoronaryArteryDisease_narrow
22298006,GNH0002_CoronaryArteryDisease_narrow
54329005,GNH0002_CoronaryArteryDisease_narrow
54329005,GNH0002_CoronaryArteryDisease_narrow
57054005,GNH0002_CoronaryArteryDisease_narrow
57054005,GNH0002_CoronaryArteryDisease_narrow
57054005,GNH0002_CoronaryArteryDisease_narrow
57054005,GNH0002_CoronaryArteryDisease_narrow
65547006,GNH0002_CoronaryArteryDisease_narrow
70211005,GNH0002_CoronaryArteryDisease_narrow
70211005,GNH0002_CoronaryArteryDisease_narrow
70422006,GNH0002_CoronaryArteryDisease_narrow
73795002,GNH0002_CoronaryArteryDisease_narrow
233838001,GNH0002_CoronaryArteryDisease_narrow
304914007,GNH0002_CoronaryArteryDisease_narrow
401303003,GNH0002_CoronaryArteryDisease_narrow
401314000,GNH0002_CoronaryArteryDisease_narrow
1755008,GNH0003_CoronaryArteryDisease_broad
1755008,GNH0003_CoronaryArteryDisease_broad
3546002,GNH0003_CoronaryArteryDisease_broad
3546002,GNH0003_CoronaryArteryDisease_broad
3546002,GNH0003_CoronaryArteryDisease_broad
4557003,GNH0003_CoronaryArteryDisease_broad
4557003,GNH0003_CoronaryArteryDisease_broad
4557003,GNH0003_CoronaryArteryDisease_broad
4557003,GNH0003_CoronaryArteryDisease_broad
4557003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
11101003,GNH0003_CoronaryArteryDisease_broad
14201006,GNH0003_CoronaryArteryDisease_broad
22298006,GNH0003_CoronaryArteryDisease_broad
22298006,GNH0003_CoronaryArteryDisease_broad
41339005,GNH0003_CoronaryArteryDisease_broad
53741008,GNH0003_CoronaryArteryDisease_broad
